time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-18T01:29:41.000Z,63.1287,-150.2787,8.4,3.2,ml,,,,0.76,ak,ak12855864,2016-02-18T02:01:50.578Z,"72km WSW of Cantwell, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-02-18T01:18:33.740Z,23.0296,120.9179,10,4.7,mwr,,91,0.258,0.94,us,us10004qp8,2016-02-18T01:32:35.724Z,"37km NW of Taitung City, Taiwan",earthquake,2,1.9,0.063,24,reviewed,us,us
2016-02-18T01:09:41.380Z,23.0544,120.9381,10,4.9,mwr,,88,0.269,1.22,us,us10004qp3,2016-02-18T01:56:33.109Z,"38km NNW of Taitung, Taiwan",earthquake,2.2,1.9,0.066,22,reviewed,us,us
2016-02-18T01:07:14.070Z,-56.2123,-27.6226,119.26,5.8,mb,,51,5.427,1.05,us,us10004qp2,2016-02-18T04:38:21.040Z,"60km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.6,5.2,0.065,86,reviewed,us,us
2016-02-17T23:58:06.200Z,39.046,71.2398,46.67,4.7,mb,,53,1.987,1.21,us,us10004qnt,2016-02-18T00:25:28.867Z,"32km SW of Karakenja, Tajikistan",earthquake,6,4,0.072,58,reviewed,us,us
2016-02-17T22:19:53.002Z,37.4798,-117.5416,7.7,3,ml,26,37.15,0.261,0.1325,nn,nn00531954,2016-02-18T06:22:32.901Z,"37km SW of Goldfield, Nevada",earthquake,0.85,3.1,0.32,8,reviewed,nn,nn
2016-02-17T21:03:18.000Z,59.9145,-152.5464,86.7,3.1,ml,,,,0.51,ak,ak12855770,2016-02-18T05:05:54.832Z,"42km WNW of Anchor Point, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-02-17T19:26:55.580Z,-3.5193,101.4879,58.52,4.7,mb,,100,3.264,0.67,us,us10004qkp,2016-02-18T03:29:33.908Z,"91km WNW of Bengkulu, Indonesia",earthquake,6.5,8.5,0.093,35,reviewed,us,us
2016-02-17T19:03:51.000Z,62.8984,-149.5229,72.5,2.6,ml,,,,0.8,ak,ak12855723,2016-02-18T03:06:27.682Z,"62km SSW of Cantwell, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-02-17T18:59:42.120Z,35.6742,-97.3971,9.31,2.8,mb_lg,,35,0.095,0.51,us,us10004qkf,2016-02-17T23:29:05.838Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,3,0.088,34,reviewed,us,us
2016-02-17T18:15:02.500Z,35.7247,-97.1582,5.061,3.4,ml,,47,,0.72,us,us10004qk1,2016-02-18T02:38:23.306Z,"7km NNE of Luther, Oklahoma",earthquake,1,5.9,,,reviewed,tul,tul
2016-02-17T17:57:17.218Z,41.8976,-119.5849,6.7,2.5,ml,5,77.85,0.165,0.0974,nn,nn00531899,2016-02-18T01:59:53.688Z,"70km ESE of Lakeview, Oregon",earthquake,5.94,7.9,0.36,5,reviewed,nn,nn
2016-02-17T17:34:08.450Z,5.3868,94.4684,48.43,4.8,mb,,154,2.473,0.6,us,us200050wg,2016-02-18T01:36:35.910Z,"96km WSW of Banda Aceh, Indonesia",earthquake,4.4,8.4,0.088,40,reviewed,us,us
2016-02-17T17:26:02.320Z,0.8451,129.0729,10,6,mww,,22,1.707,0.94,us,us200050wc,2016-02-18T01:28:36.546Z,"153km SE of Tobelo, Indonesia",earthquake,6.7,1.7,,,reviewed,us,us
2016-02-17T15:48:17.950Z,7.0912,126.7737,71.14,4.7,mb,,93,1.185,0.83,us,us200050w2,2016-02-18T00:10:14.319Z,"29km ESE of Manay, Philippines",earthquake,9.6,7.8,0.074,55,reviewed,us,us
2016-02-17T15:27:40.690Z,6.8442,-73.009,148.69,4,mb,,97,1.42,0.96,us,us10004qn4,2016-02-17T22:57:20.049Z,"16km SSE of Piedecuesta, Colombia",earthquake,8.2,8.7,0.082,40,reviewed,us,us
2016-02-17T15:26:29.330Z,-13.0968,66.5899,10,4.7,mb,,81,19.508,1.08,us,us200050vz,2016-02-17T23:31:33.803Z,"Mid-Indian Ridge",earthquake,9.6,1.9,0.102,29,reviewed,us,us
2016-02-17T15:22:31.100Z,-30.5216,-72.1133,10.98,4.3,mb,,187,0.439,0.9,us,us200050vw,2016-02-17T23:26:18.427Z,"88km W of Ovalle, Chile",earthquake,4.7,7.5,0.377,2,reviewed,us,us
2016-02-17T14:49:55.950Z,3.6832,-72.9025,15.65,4.4,mb,,71,1.825,0.94,us,us10004qmg,2016-02-17T22:45:03.219Z,"38km E of San Carlos de Guaroa, Colombia",earthquake,6.4,5.3,0.169,10,reviewed,us,us
2016-02-17T13:19:15.000Z,60.7171,-150.6794,45.7,3,ml,,,,0.78,ak,ak12851158,2016-02-17T21:21:43.460Z,"20km NNE of Sterling, Alaska",earthquake,0.3,0.7,,,automatic,ak,ak
2016-02-17T11:15:24.080Z,-20.865,-175.267,10,4.9,mb,,101,5.328,0.95,us,us200050u6,2016-02-17T19:20:19.390Z,"30km NNW of Nuku`alofa, Tonga",earthquake,5.9,1.8,0.088,40,reviewed,us,us
2016-02-17T10:54:11.520Z,-31.1931,-71.6642,41.11,4.8,mb,,137,0.518,0.86,us,us200050u4,2016-02-17T18:56:54.223Z,"67km NW of Illapel, Chile",earthquake,6.7,6.7,0.131,18,reviewed,us,us
2016-02-17T09:27:57.260Z,36.8116684,-121.5305023,3.59,2.59,md,41,28,0.02657,0.08,nc,nc72592975,2016-02-18T06:25:11.415Z,"3km S of San Juan Bautista, California",earthquake,0.16,0.32,0.15,49,automatic,nc,nc
2016-02-17T09:01:32.820Z,36.4453,-98.7404,5,2.6,mb_lg,,104,0.062,0.72,us,us200050tv,2016-02-17T17:06:46.301Z,"30km NW of Fairview, Oklahoma",earthquake,2.6,1.7,0.142,13,reviewed,us,us
2016-02-17T08:47:48.050Z,-21.2593,-177.9893,474.64,4.7,mb,,97,5.114,0.52,us,us200050tu,2016-02-17T16:50:21.137Z,"100km SE of Ndoi Island, Fiji",earthquake,15.1,11.3,0.101,30,reviewed,us,us
2016-02-17T08:41:58.390Z,36.0055,-117.89,2.91,2.88,ml,32,47,0.002259,0.12,ci,ci37525128,2016-02-17T16:23:36.040Z,"7km SE of Coso Junction, California",earthquake,0.13,0.29,0.163,134,reviewed,ci,ci
2016-02-17T08:32:16.700Z,36.4531,-98.7697,5.05,2.8,mb_lg,,139,0.058,0.34,us,us200050ts,2016-02-17T16:35:01.504Z,"33km NW of Fairview, Oklahoma",earthquake,1.3,2.9,0.102,25,reviewed,us,us
2016-02-17T08:31:40.550Z,36.4445,-98.764,5.59,2.8,mb_lg,,110,0.065,0.35,us,us200050tr,2016-02-17T16:34:15.270Z,"32km NW of Fairview, Oklahoma",earthquake,1.1,2.8,0.085,36,reviewed,us,us
2016-02-17T08:16:49.990Z,35.7723,-97.1943,7.92,3.1,mb_lg,,38,0.213,0.43,us,us200050tm,2016-02-17T17:14:16.009Z,"12km N of Luther, Oklahoma",earthquake,2.5,7.5,0.059,75,reviewed,us,us
2016-02-17T08:10:27.730Z,19.8221664,-155.7081604,13.81,2.6,md,25,140,0.05889,0.28,hv,hv61179966,2016-02-17T16:13:28.131Z,"15km SSE of Waikoloa, Hawaii",earthquake,0.56,0.59,0.14,16,automatic,hv,hv
2016-02-17T07:44:24.630Z,-30.5519,-177.6173,10,5.1,mb,,121,1.33,1.39,us,us200050ti,2016-02-17T15:46:56.053Z,"145km S of Raoul Island, New Zealand",earthquake,9.7,1.8,0.065,76,reviewed,us,us
2016-02-17T07:37:04.000Z,60.6531,-146.8267,14.8,2.5,ml,,,,0.73,ak,ak12847442,2016-02-17T22:37:41.395Z,"59km SSW of Valdez, Alaska",earthquake,0.2,0.1,,,reviewed,ak,ak
2016-02-17T07:32:11.940Z,4.7328,127.8612,71.49,4.8,mb,,144,3.965,0.49,us,us200050td,2016-02-17T15:34:45.905Z,"259km SE of Pondaguitan, Philippines",earthquake,6.8,9,0.103,29,reviewed,us,us
2016-02-17T07:19:21.400Z,36.7361,-97.665,3.79,2.8,mb_lg,,58,0.194,0.2,us,us200050tb,2016-02-17T15:21:59.007Z,"9km SE of Medford, Oklahoma",earthquake,1.4,8,0.092,31,reviewed,us,us
2016-02-17T06:30:26.000Z,51.9119,-169.5623,26.5,3.4,ml,,,,0.85,ak,ak12846697,2016-02-17T22:24:19.496Z,"111km SE of Yunaska Island, Alaska",earthquake,1.5,1.7,,,reviewed,ak,ak
2016-02-17T05:31:23.120Z,-4.6203,152.5368,58.3,4.7,mb,,101,0.565,0.59,us,us200050t6,2016-02-17T13:33:52.735Z,"42km SE of Kokopo, Papua New Guinea",earthquake,10.2,8.1,0.091,37,reviewed,us,us
2016-02-17T05:24:48.050Z,37.5740013,-118.8571701,5.24,2.9,md,35,87,0.02744,0.05,nc,nc72592870,2016-02-17T20:10:53.850Z,"13km SE of Mammoth Lakes, California",earthquake,0.21,0.45,0.1,34,automatic,nc,nc
2016-02-17T04:49:16.000Z,60.5166,-149.947,31.3,2.9,ml,,,,0.62,ak,ak12845219,2016-02-17T22:09:18.438Z,"44km E of Sterling, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-02-17T04:19:10.600Z,18.568,-66.2098,72,2.6,Md,5,216,0.54348075,0.09,pr,pr16048002,2016-02-17T12:21:51.349Z,"13km NNW of Levittown, Puerto Rico",earthquake,1.6,1.5,0,5,reviewed,pr,pr
2016-02-17T02:56:25.000Z,51.5945,-175.3399,47.1,3.6,ml,,,,0.66,ak,ak12844456,2016-02-17T20:40:11.232Z,"96km ESE of Adak, Alaska",earthquake,2,2.3,,,reviewed,ak,ak
2016-02-17T02:37:52.800Z,18.9006,-67.6792,12,2.9,Md,9,320.4,0.68810951,0.4,pr,pr16048001,2016-02-17T10:40:23.754Z,"76km NW of Aguadilla, Puerto Rico",earthquake,17.6,25.3,0,8,reviewed,pr,pr
2016-02-17T02:14:14.100Z,18.139,-67.4045,16,2.7,Md,8,226.8,0.25332491,0.25,pr,pr16048000,2016-02-17T10:16:44.425Z,"24km WNW of Puerto Real, Puerto Rico",earthquake,0.9,1,0,8,reviewed,pr,pr
2016-02-17T01:37:52.010Z,-23.953,-66.6466,194.06,4.3,mb,,36,2.472,0.97,us,us200050r4,2016-02-17T09:40:26.074Z,"44km NW of San Antonio de los Cobres, Argentina",earthquake,7.2,7.6,0.078,47,reviewed,us,us
2016-02-17T01:19:05.730Z,36.4829,-98.7339,9.35,3,mb_lg,,56,0.026,0.83,us,us200050qh,2016-02-17T03:32:54.847Z,"32km NW of Fairview, Oklahoma",earthquake,2.7,4.2,0.064,64,reviewed,us,us
2016-02-17T00:58:18.260Z,40.3863333,-124.9503333,17.14,2.77,ml,33,262,0.4762,0.16,nc,nc72592755,2016-02-17T09:00:51.666Z,"61km WSW of Ferndale, California",earthquake,0.93,1.28,0.207,12,reviewed,nc,nc
2016-02-17T00:29:35.470Z,-31.4449,-69.2902,113.78,4.2,mb,,93,0.527,1.12,us,us200050pr,2016-02-17T08:32:05.031Z,"16km SE of Calingasta, Argentina",earthquake,5,6.1,0.303,3,reviewed,us,us
2016-02-16T23:55:49.000Z,59.8298,-152.8897,102.7,3.5,ml,,,,0.57,ak,ak12842050,2016-02-17T04:05:42.149Z,"59km W of Anchor Point, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
2016-02-16T23:48:35.010Z,-55.8203,-125.1795,10,6,mwb,,72,30.876,1.27,us,us200050pj,2016-02-17T16:02:50.000Z,"Southern East Pacific Rise",earthquake,13.7,1.8,0.048,42,reviewed,us,us
2016-02-16T23:27:31.020Z,37.2023333,-118.3998333,15.08,4.31,mw,54,71,0.1195,0.06,nc,nc72592705,2016-02-17T23:11:17.942Z,"10km WNW of Big Pine, California",earthquake,0.23,0.59,,6,reviewed,nc,nc
2016-02-16T23:25:10.460Z,37.2056656,-118.4039993,14.97,2.75,md,40,105,0.1854,0.06,nc,nc72592695,2016-02-17T22:58:52.900Z,"11km WNW of Big Pine, California",earthquake,0.27,0.75,0.18,33,automatic,nc,nc
2016-02-16T23:09:27.590Z,37.2029991,-118.404335,14.82,2.89,md,37,104,0.1878,0.07,nc,nc72592675,2016-02-17T22:18:52.919Z,"12km WNW of Big Pine, California",earthquake,0.25,0.63,0.19,30,automatic,nc,nc
2016-02-16T23:06:56.990Z,26.3655,93.4149,10,4.7,mb,,96,1.613,0.63,us,us200050p4,2016-02-17T02:24:16.094Z,"34km SSW of Bokakhat, India",earthquake,7,1.9,0.092,36,reviewed,us,us
2016-02-16T23:04:38.510Z,36.4914,-98.7609,11.33,2.9,mb_lg,,131,0.021,0.59,us,us200050nu,2016-02-17T00:22:38.574Z,"35km SSW of Alva, Oklahoma",earthquake,3.1,4.3,0.09,32,reviewed,us,us
2016-02-16T23:04:26.900Z,37.2023,-118.4035,15.1,4.8,Mw,52,104.4,0.1176793,0.07,nc,nc72592670,2016-02-18T06:12:42.163Z,"10km WNW of Big Pine, California",earthquake,0.3,0.6,,6,reviewed,nc,nc
2016-02-16T22:32:25.780Z,36.7393,-97.5291,4.73,2.6,mb_lg,,69,0.253,0.33,us,us200050ni,2016-02-17T00:20:45.055Z,"19km ESE of Medford, Oklahoma",earthquake,1,7.2,0.128,16,reviewed,us,us
2016-02-16T22:23:50.880Z,-15.6514,-72.9166,87.28,4.5,mb,,134,3.657,1.23,us,us200050nh,2016-02-17T11:55:32.994Z,"74km SW of Orcopampa, Peru",earthquake,9.2,9.1,0.113,23,reviewed,us,us
2016-02-16T22:22:47.070Z,41.3693333,-124.0095,34.65,2.57,md,33,184,0.2117,0.19,nc,nc72592650,2016-02-18T05:03:09.067Z,"36km NNE of Westhaven-Moonstone, California",earthquake,0.85,0.46,0.17,25,reviewed,nc,nc
2016-02-16T21:29:45.440Z,-10.1471,111.5315,44.43,4.5,mb,,98,2.433,0.77,us,us200050n4,2016-02-17T05:32:17.732Z,"205km S of Ngulung Wetan, Indonesia",earthquake,9.2,9.6,0.132,17,reviewed,us,us
2016-02-16T20:31:03.750Z,-3.5496,131.2677,37.14,4.2,mb,,133,4.404,1.11,us,us200050ms,2016-02-17T22:53:45.780Z,"262km E of Amahai, Indonesia",earthquake,7.5,8.1,0.106,28,reviewed,us,us
2016-02-16T19:07:16.500Z,-4.6406,152.6283,54.22,5,mb,,93,0.643,1.04,us,us200050mj,2016-02-17T03:10:38.194Z,"48km WSW of Taron, Papua New Guinea",earthquake,6.6,7.4,0.07,65,reviewed,us,us
2016-02-16T18:07:31.000Z,61.7376,-148.311,4.6,2.7,ml,,,,0.85,ak,ak12839161,2016-02-17T22:40:11.040Z,"29km ESE of Sutton-Alpine, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-02-16T17:45:40.780Z,-14.3114,172.3997,618.29,4.5,mb,,108,5.149,0.68,us,us200050m6,2016-02-17T20:02:10.913Z,"Vanuatu region",earthquake,17,13.4,0.109,25,reviewed,us,us
2016-02-16T17:41:27.130Z,-3.5993,131.2897,37.63,4.5,mb,,65,4.354,0.92,us,us200050m3,2016-02-17T19:54:39.509Z,"265km E of Amahai, Indonesia",earthquake,8.9,6.3,0.086,39,reviewed,us,us
2016-02-16T16:50:52.090Z,-30.2238,-71.3306,49.67,4.5,mb,,156,0.314,0.88,us,us200050lr,2016-02-17T00:53:36.390Z,"30km S of Coquimbo, Chile",earthquake,8,8.1,0.543,1,reviewed,us,us
2016-02-16T15:49:34.870Z,-30.4432,-72.0521,18.17,4.2,mb,,201,0.427,0.83,us,us200050ks,2016-02-16T23:56:06.226Z,"83km WNW of Ovalle, Chile",earthquake,4.4,8.8,0.526,1,reviewed,us,us
2016-02-16T15:27:19.120Z,-18.1025,-175.0637,246.63,4.8,mb,,70,4.967,0.99,us,us200050kq,2016-02-16T23:29:51.275Z,"129km WNW of Neiafu, Tonga",earthquake,10.1,7.5,0.06,86,reviewed,us,us
2016-02-16T15:05:48.680Z,-7.2494,106.9886,126.71,4.8,mb,,63,3.431,1.15,us,us200050kh,2016-02-16T23:09:22.560Z,"0km ESE of Babakan, Indonesia",earthquake,7.2,6.7,0.065,73,reviewed,us,us
2016-02-16T13:21:48.000Z,-25.865,-70.884,55.1,4.4,mb,,,,1.06,us,us200050kb,2016-02-16T21:24:33.826Z,"65km SW of Taltal, Chile",earthquake,7.7,9.5,0.539,1,reviewed,guc,us
2016-02-16T13:03:53.950Z,34.3003333,-116.8636667,3.32,2.61,ml,95,37,0.05622,0.13,ci,ci37524632,2016-02-17T05:57:43.810Z,"5km NNW of Big Bear City, California",earthquake,0.1,0.33,0.17,26,reviewed,ci,ci
2016-02-16T12:01:42.600Z,15.5705,-104.8367,56.75,4.8,mb,,198,5.317,1.07,us,us200050j5,2016-02-16T20:04:21.333Z,"Off the coast of Michoacan, Mexico",earthquake,11.3,8.2,0.033,291,reviewed,us,us
2016-02-16T11:57:08.000Z,61.0474,-152.3586,110.1,2.9,ml,,,,0.51,ak,ak12836356,2016-02-16T19:59:47.010Z,"66km NNE of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-02-16T11:02:06.000Z,59.6693,-153.3417,109.4,3.4,ml,,,,0.58,ak,ak12836333,2016-02-16T21:23:45.985Z,"85km W of Anchor Point, Alaska",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-02-16T10:46:27.440Z,-16.4854,-73.6362,10.37,5.4,mb,,132,3.661,1.14,us,us200050iw,2016-02-17T15:42:38.000Z,"99km W of Camana, Peru",earthquake,7.5,4.2,0.03,389,reviewed,us,us
2016-02-16T09:24:20.700Z,34.3026667,-116.8633333,3.14,3.85,mw,115,37,0.05411,0.16,ci,ci37524376,2016-02-18T02:45:44.469Z,"5km NNW of Big Bear City, California",earthquake,0.1,0.35,,6,reviewed,ci,ci
