nst,magError,magNst,longitude,gap,time,type,updated,id,place,latitude,mag,magSource,net,magType,horizontalError,status,depthError,locationSource,dmin,rms,depth
,0.063,24,120.9179,91,2016-02-18T01:18:33.740Z,earthquake,2016-02-18T01:32:35.724Z,us10004qp8,"37km NW of Taitung City, Taiwan",23.0296,4.7,us,us,mwr,2,reviewed,1.9,us,0.258,0.94,10
,0.066,22,120.9381,88,2016-02-18T01:09:41.380Z,earthquake,2016-02-18T01:56:33.109Z,us10004qp3,"38km NNW of Taitung, Taiwan",23.0544,4.9,us,us,mwr,2.2,reviewed,1.9,us,0.269,1.22,10
,0.065,86,-27.6226,51,2016-02-18T01:07:14.070Z,earthquake,2016-02-18T04:38:21.040Z,us10004qp2,"60km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",-56.2123,5.8,us,us,mb,9.6,reviewed,5.2,us,5.427,1.05,119.26
,0.072,58,71.2398,53,2016-02-17T23:58:06.200Z,earthquake,2016-02-18T00:25:28.867Z,us10004qnt,"32km SW of Karakenja, Tajikistan",39.046,4.7,us,us,mb,6,reviewed,4,us,1.987,1.21,46.67
26,0.32,8,-117.5416,37.15,2016-02-17T22:19:53.002Z,earthquake,2016-02-18T06:22:32.901Z,nn00531954,"37km SW of Goldfield, Nevada",37.4798,3,nn,nn,ml,0.85,reviewed,3.1,nn,0.261,0.1325,7.7
,0.093,35,101.4879,100,2016-02-17T19:26:55.580Z,earthquake,2016-02-18T03:29:33.908Z,us10004qkp,"91km WNW of Bengkulu, Indonesia",-3.5193,4.7,us,us,mb,6.5,reviewed,8.5,us,3.264,0.67,58.52
,0.088,34,-97.3971,35,2016-02-17T18:59:42.120Z,earthquake,2016-02-17T23:29:05.838Z,us10004qkf,"7km ENE of Edmond, Oklahoma",35.6742,2.8,us,us,mb_lg,1.2,reviewed,3,us,0.095,0.51,9.31
,,,-97.1582,47,2016-02-17T18:15:02.500Z,earthquake,2016-02-18T02:38:23.306Z,us10004qk1,"7km NNE of Luther, Oklahoma",35.7247,3.4,tul,us,ml,1,reviewed,5.9,tul,,0.72,5.061
5,0.36,5,-119.5849,77.85,2016-02-17T17:57:17.218Z,earthquake,2016-02-18T01:59:53.688Z,nn00531899,"70km ESE of Lakeview, Oregon",41.8976,2.5,nn,nn,ml,5.94,reviewed,7.9,nn,0.165,0.0974,6.7
,0.088,40,94.4684,154,2016-02-17T17:34:08.450Z,earthquake,2016-02-18T01:36:35.910Z,us200050wg,"96km WSW of Banda Aceh, Indonesia",5.3868,4.8,us,us,mb,4.4,reviewed,8.4,us,2.473,0.6,48.43
,,,129.0729,22,2016-02-17T17:26:02.320Z,earthquake,2016-02-18T01:28:36.546Z,us200050wc,"153km SE of Tobelo, Indonesia",0.8451,6,us,us,mww,6.7,reviewed,1.7,us,1.707,0.94,10
,0.074,55,126.7737,93,2016-02-17T15:48:17.950Z,earthquake,2016-02-18T00:10:14.319Z,us200050w2,"29km ESE of Manay, Philippines",7.0912,4.7,us,us,mb,9.6,reviewed,7.8,us,1.185,0.83,71.14
,0.082,40,-73.009,97,2016-02-17T15:27:40.690Z,earthquake,2016-02-17T22:57:20.049Z,us10004qn4,"16km SSE of Piedecuesta, Colombia",6.8442,4,us,us,mb,8.2,reviewed,8.7,us,1.42,0.96,148.69
,0.102,29,66.5899,81,2016-02-17T15:26:29.330Z,earthquake,2016-02-17T23:31:33.803Z,us200050vz,Mid-Indian Ridge,-13.0968,4.7,us,us,mb,9.6,reviewed,1.9,us,19.508,1.08,10
,0.377,2,-72.1133,187,2016-02-17T15:22:31.100Z,earthquake,2016-02-17T23:26:18.427Z,us200050vw,"88km W of Ovalle, Chile",-30.5216,4.3,us,us,mb,4.7,reviewed,7.5,us,0.439,0.9,10.98
,0.169,10,-72.9025,71,2016-02-17T14:49:55.950Z,earthquake,2016-02-17T22:45:03.219Z,us10004qmg,"38km E of San Carlos de Guaroa, Colombia",3.6832,4.4,us,us,mb,6.4,reviewed,5.3,us,1.825,0.94,15.65
,0.088,40,-175.267,101,2016-02-17T11:15:24.080Z,earthquake,2016-02-17T19:20:19.390Z,us200050u6,"30km NNW of Nuku`alofa, Tonga",-20.865,4.9,us,us,mb,5.9,reviewed,1.8,us,5.328,0.95,10
,0.131,18,-71.6642,137,2016-02-17T10:54:11.520Z,earthquake,2016-02-17T18:56:54.223Z,us200050u4,"67km NW of Illapel, Chile",-31.1931,4.8,us,us,mb,6.7,reviewed,6.7,us,0.518,0.86,41.11
,0.142,13,-98.7404,104,2016-02-17T09:01:32.820Z,earthquake,2016-02-17T17:06:46.301Z,us200050tv,"30km NW of Fairview, Oklahoma",36.4453,2.6,us,us,mb_lg,2.6,reviewed,1.7,us,0.062,0.72,5
,0.101,30,-177.9893,97,2016-02-17T08:47:48.050Z,earthquake,2016-02-17T16:50:21.137Z,us200050tu,"100km SE of Ndoi Island, Fiji",-21.2593,4.7,us,us,mb,15.1,reviewed,11.3,us,5.114,0.52,474.64
32,0.163,134,-117.89,47,2016-02-17T08:41:58.390Z,earthquake,2016-02-17T16:23:36.040Z,ci37525128,"7km SE of Coso Junction, California",36.0055,2.88,ci,ci,ml,0.13,reviewed,0.29,ci,0.002259,0.12,2.91
,0.102,25,-98.7697,139,2016-02-17T08:32:16.700Z,earthquake,2016-02-17T16:35:01.504Z,us200050ts,"33km NW of Fairview, Oklahoma",36.4531,2.8,us,us,mb_lg,1.3,reviewed,2.9,us,0.058,0.34,5.05
,0.085,36,-98.764,110,2016-02-17T08:31:40.550Z,earthquake,2016-02-17T16:34:15.270Z,us200050tr,"32km NW of Fairview, Oklahoma",36.4445,2.8,us,us,mb_lg,1.1,reviewed,2.8,us,0.065,0.35,5.59
,0.059,75,-97.1943,38,2016-02-17T08:16:49.990Z,earthquake,2016-02-17T17:14:16.009Z,us200050tm,"12km N of Luther, Oklahoma",35.7723,3.1,us,us,mb_lg,2.5,reviewed,7.5,us,0.213,0.43,7.92
,0.065,76,-177.6173,121,2016-02-17T07:44:24.630Z,earthquake,2016-02-17T15:46:56.053Z,us200050ti,"145km S of Raoul Island, New Zealand",-30.5519,5.1,us,us,mb,9.7,reviewed,1.8,us,1.33,1.39,10
,,,-146.8267,,2016-02-17T07:37:04.000Z,earthquake,2016-02-17T22:37:41.395Z,ak12847442,"59km SSW of Valdez, Alaska",60.6531,2.5,ak,ak,ml,0.2,reviewed,0.1,ak,,0.73,14.8
,0.103,29,127.8612,144,2016-02-17T07:32:11.940Z,earthquake,2016-02-17T15:34:45.905Z,us200050td,"259km SE of Pondaguitan, Philippines",4.7328,4.8,us,us,mb,6.8,reviewed,9,us,3.965,0.49,71.49
,0.092,31,-97.665,58,2016-02-17T07:19:21.400Z,earthquake,2016-02-17T15:21:59.007Z,us200050tb,"9km SE of Medford, Oklahoma",36.7361,2.8,us,us,mb_lg,1.4,reviewed,8,us,0.194,0.2,3.79
,,,-169.5623,,2016-02-17T06:30:26.000Z,earthquake,2016-02-17T22:24:19.496Z,ak12846697,"111km SE of Yunaska Island, Alaska",51.9119,3.4,ak,ak,ml,1.5,reviewed,1.7,ak,,0.85,26.5
,0.091,37,152.5368,101,2016-02-17T05:31:23.120Z,earthquake,2016-02-17T13:33:52.735Z,us200050t6,"42km SE of Kokopo, Papua New Guinea",-4.6203,4.7,us,us,mb,10.2,reviewed,8.1,us,0.565,0.59,58.3
,,,-149.947,,2016-02-17T04:49:16.000Z,earthquake,2016-02-17T22:09:18.438Z,ak12845219,"44km E of Sterling, Alaska",60.5166,2.9,ak,ak,ml,0.2,reviewed,0.2,ak,,0.62,31.3
